-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 2 N:100
Mz:-0.1090088,MEAN:-0.08281733,MIN:-0.1090088,MAX:0.06018066,Kurtosis:73.98526,Alteration:-0.009155602,RANGE:0.1691895,ENERGY:0.7099317,POWER:0.007099318,RMS:0.08425745,STD:0.01551153,Variance:0.0002406076,SKEW:0.001967035,SLOPE : -0.07678223
-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 8 N:100
Ax:0.03881836,MEAN:-0.1118603,MIN:-0.1574707,MAX:0.1094971,Kurtosis:32.90996,Alteration:-0.1569824,RANGE:0.2669678,ENERGY:1.363002,POWER:0.01363002,RMS:0.1167477,STD:0.03342589,Variance:0.00111729,SKEW:0.00618489,SLOPE:-0.07067871
Ay:-0.5402832,MEAN:-0.04913821,MIN:-0.5402832,MAX:-0.01599121,Kurtosis:28.84985,Alteration:0.5061035,RANGE:0.524292,ENERGY:0.834594,POWER:0.00834594,RMS:0.09135611,STD:0.07701543,Variance:0.005931377,SKEW:-0.03112775,SLOPE:-0.105957
Az:0.1276855,MEAN:0.9708511,MIN:0.1276855,MAX:0.9952393,Kurtosis:33.56091,Alteration:0.8675526,RANGE:0.8675537,ENERGY:95.90202,POWER:0.9590201,RMS:0.9792957,STD:0.1283281,Variance:0.01646811,SKEW:-0.09390514,SLOPE : -0.175293
Gx:140.3247,MEAN:-15.48994,MIN:-19.76868,MAX:140.3247,Kurtosis:44.21701,Alteration:-160.0934,RANGE:160.0934,ENERGY:62982.14,POWER:629.8214,RMS:25.09624,STD:19.74546,Variance:389.8831,SKEW:2442.806,SLOPE : 69.78104
Gy:37.10739,MEAN:40.89369,MIN:-23.49213,MAX:44.84589,Kurtosis:13.82336,Alteration:7.738537,RANGE:68.33802,ENERGY:184967.1,POWER:1849.671,RMS:43.0078,STD:13.31829,Variance:177.377,SKEW:-645.7584,SLOPE : 41.06262
Gz:-39.2981,MEAN:11.35025,MIN:-39.2981,MAX:59.91913,Kurtosis:34.8074,Alteration:51.42549,RANGE:99.21722,ENERGY:18790.87,POWER:187.9087,RMS:13.70798,STD:7.686382,Variance:59.08047,SKEW:-42.92466,SLOPE : -53.34702
Mx:0.3360596,MEAN:0.3452112,MIN:0.3115234,MAX:0.4019775,Kurtosis:31.4334,Alteration:0.008911222,RANGE:0.0904541,ENERGY:11.92428,POWER:0.1192428,RMS:0.3453155,STD:0.008483666,Variance:7.197261e-05,SKEW:0.0002730272,SLOPE : 0.02453613
My:0.4946289,MEAN:0.4639951,MIN:0.4628906,MAX:0.4946289,Kurtosis:28.98335,Alteration:-0.03173861,RANGE:0.03173828,ENERGY:21.53122,POWER:0.2153122,RMS:0.4640175,STD:0.004552748,Variance:2.072752e-05,SKEW:0.0001034761,SLOPE : 0.02258301
Mz:0.01953125,MEAN:-0.08177607,MIN:-0.1090088,MAX:0.06018066,Kurtosis:45.0323,Alteration:-0.03173861,RANGE:0.1691895,ENERGY:0.7031569,POWER:0.007031569,RMS:0.08385445,STD:0.0185538,Variance:0.0003442433,SKEW:0.0022049,SLOPE : 0.12854
-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 9 N:100
Ax:0.1654053,MEAN:-0.1090246,MIN:-0.1574707,MAX:0.1654053,Kurtosis:27.74168,Alteration:-0.2835693,RANGE:0.322876,ENERGY:1.376398,POWER:0.01376398,RMS:0.11732,STD:0.04333143,Variance:0.001877612,SKEW:0.009540827,SLOPE:0.1265869
Ay:-0.4492188,MEAN:-0.0532886,MIN:-0.5402832,MAX:-0.01599121,Kurtosis:22.33779,Alteration:0.4150391,RANGE:0.524292,ENERGY:1.035223,POWER:0.01035223,RMS:0.1017459,STD:0.08667501,Variance:0.007512558,SKEW:-0.03481985,SLOPE:0.09106445
Az:0.2052002,MEAN:0.9629508,MIN:0.1276855,MAX:0.9952393,Kurtosis:25.01761,Alteration:0.7900379,RANGE:0.8675537,ENERGY:94.95362,POWER:0.9495362,RMS:0.9744414,STD:0.1492043,Variance:0.02226192,SKEW:-0.1099297,SLOPE : 0.07751465
Gx:108.2716,MEAN:-14.20954,MIN:-19.76868,MAX:140.3247,Kurtosis:30.62802,Alteration:-128.0403,RANGE:160.0934,ENERGY:74314.09,POWER:743.1409,RMS:27.26061,STD:23.26435,Variance:541.23,SKEW:2863.153,SLOPE : -32.05306
Gy:18.20602,MEAN:40.62729,MIN:-23.49213,MAX:44.84589,Kurtosis:13.1632,Alteration:26.6399,RANGE:68.33802,ENERGY:183287.4,POWER:1832.874,RMS:42.81207,STD:13.50174,Variance:182.297,SKEW:-645.3958,SLOPE : -18.90137
Gz:-19.61166,MEAN:11.03286,MIN:-39.2981,MAX:59.91913,Kurtosis:27.72355,Alteration:31.73906,RANGE:99.21722,ENERGY:19028.41,POWER:190.2841,RMS:13.79435,STD:8.280102,Variance:68.56008,SKEW:-74.6031,SLOPE : 19.68643
Mx:0.3449707,MEAN:0.3452112,MIN:0.3115234,MAX:0.4019775,Kurtosis:31.43319,Alteration:8.940697e-08,RANGE:0.0904541,ENERGY:11.92428,POWER:0.1192428,RMS:0.3453155,STD:0.008483666,Variance:7.197261e-05,SKEW:0.0002729881,SLOPE : 0.008911133
